,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
107,S R Nathan School of Human Development,Bachelor of Early Childhood Education,Singapore University of Social Sciences,3000,2700,3000,88%,3016,2879,2879,2020,100.00%
108,S R Nathan School of Human Development,Bachelor of Human Resource Management,Singapore University of Social Sciences,2950,2650,2750,23%,3300,3051,2947,2020,90.60%
109,S R Nathan School of Human Development,Bachelor of Social Work,Singapore University of Social Sciences,3500,3450,3500,89%,3655,3486,3443,2020,97.30%
110,School of Business,Bachelor of Accountancy,Singapore University of Social Sciences,3000,3000,3000,82%,3000,3116,3059,2020,94.60%
111,School of Business,Bachelor of Science in Finance,Singapore University of Social Sciences,3163,2850,3163,50%,4466,3854,3537,2020,100.00%
112,School of Business,Bachelor of Science in Marketing,Singapore University of Social Sciences,2900,2750,2900,51%,3520,3246,3126,2020,92.10%
113,School of Business,Bachelor of Science in Supply Chain Management,Singapore University of Social Sciences,3185,2950,3100,36%,3500,3284,3125,2020,88.00%
114,College of Business (Nanyang Business School),Accountancy and Business,Nanyang Technological University,3350,2900,3200,96.1,4000,3727,3701,2013,97.4
115,College of Business (Nanyang Business School),Accountancy (3yr direct Honours Programme),Nanyang Technological University,2700,2700,2700,95.7,2900,2938,2850,2013,97.1
116,College of Business (Nanyang Business School),Business (3yr direct Honours Programme),Nanyang Technological University,3000,2700,3000,85.7,3500,3214,3053,2013,90.9
117,College of Business (Nanyang Business School),Business and Computing,Nanyang Technological University,3400,3000,3400,87.5,4100,3615,3557,2013,87.5
118,College of Engineering,Aerospace Engineering,Nanyang Technological University,3500,3100,3500,95.3,3816,3536,3494,2013,95.3
119,College of Engineering,Bioengineering,Nanyang Technological University,3125,2893,2900,68.8,3365,3166,2952,2013,81.3
120,College of Engineering,Chemical and Biomolecular Engineering,Nanyang Technological University,3200,3000,3000,85.1,3800,3377,3235,2013,87.3
