,school,degree,university,gross_monthly_median,gross_mthly_25_percentile,basic_monthly_median,employment_rate_ft_perm,gross_mthly_75_percentile,gross_monthly_mean,basic_monthly_mean,year,employment_rate_overall
208,College of Engineering,Civil Engineering,Nanyang Technological University,3100,3000,3000,93.8,3380,3182,3091,2013,94.8
209,College of Engineering,Computer Science,Nanyang Technological University,3125,3000,3000,88.5,3600,3306,3249,2013,92.1
210,College of Engineering,Electrical and Electronic Engineering,Nanyang Technological University,3100,3000,3000,88.7,3440,3187,3133,2013,91
211,College of Engineering,Environmental Engineering,Nanyang Technological University,3000,3000,3000,81.5,3300,3140,3091,2013,84
212,College of Engineering,Information Engineering and Media,Nanyang Technological University,3200,2950,3150,79.6,3400,3203,3160,2013,85.7
213,College of Engineering,Materials Engineering,Nanyang Technological University,3000,2800,3000,78.9,3300,3096,2989,2013,82.5
214,College of Engineering,Mechanical Engineering,Nanyang Technological University,3100,3000,3000,89.5,3500,3226,3125,2013,91.6
215,College of Engineering,Maritime Studies,Nanyang Technological University,3000,2850,3000,93.3,3200,3111,3050,2013,95.6
216,College of Humanities Arts Social Sciences,Art Design  Media,Nanyang Technological University,2500,2300,2500,61.4,2900,2638,2639,2013,81.6
217,College of Humanities Arts Social Sciences,Chinese,Nanyang Technological University,3000,2600,2800,80.5,3300,2924,2818,2013,85.1
218,College of Humanities Arts Social Sciences,Communication Studies,Nanyang Technological University,3000,2700,2930,79.6,3250,2956,2893,2013,89.4
219,College of Humanities Arts Social Sciences,Economics,Nanyang Technological University,3000,2800,3000,83.5,3545,3148,3085,2013,89.9
220,College of Humanities Arts Social Sciences,English,Nanyang Technological University,3100,2800,3000,67.3,3400,3179,3087,2013,82.7
221,College of Humanities Arts Social Sciences,Linguistics and Multilingual Studies,Nanyang Technological University,2625,2475,2600,81.3,3018,2725,2691,2013,90.6
222,College of Humanities Arts Social Sciences,Psychology,Nanyang Technological University,3000,2750,3000,71.8,3255,3061,3007,2013,82.4
223,College of Humanities Arts Social Sciences,Sociology,Nanyang Technological University,3100,2800,3000,55.8,3310,3082,2980,2013,74.4
224,College of Sciences,Biomedical Sciences,Nanyang Technological University,na,na,na,na,na,na,na,2013,na
225,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine),Nanyang Technological University,2807,2700,2800,88.4,3000,2883,2840,2013,90.7
226,College of Sciences,Biological Sciences,Nanyang Technological University,3000,2700,2900,68.1,3250,3002,2881,2013,78.6
227,College of Sciences,Chemistry  Biological Chemistry,Nanyang Technological University,3100,2800,3000,68.9,3400,3083,2993,2013,79.8
228,College of Sciences,Mathematics  Economics,Nanyang Technological University,na,na,na,na,na,na,na,2013,na
229,College of Sciences,Mathematical Science,Nanyang Technological University,3000,2750,3000,83.7,3500,3262,3169,2013,86
230,College of Sciences,Physics  Applied Physics,Nanyang Technological University,3300,2900,3000,69.2,3400,3208,3164,2013,80.8
231,College of Sciences,Sports Science and Management,Nanyang Technological University,3000,2700,3000,59.1,3400,2985,2968,2013,68.2
232,National Institute of Education (NIE),Science (with Education),Nanyang Technological University,3498,3300,3400,100,3800,3478,3377,2013,100
233,National Institute of Education (NIE),Arts (with Education),Nanyang Technological University,3498,3400,3426,100,3575,3506,3413,2013,100
234,Faculty of Arts Social Sciences,Bachelor of Arts,National University of Singapore,2800,2500,2730,70.1,3080,2888,2741,2013,84.8
235,Faculty of Arts Social Sciences,Bachelor of Arts (Hons),National University of Singapore,3200,2800,3200,74.6,3500,3154,3057,2013,86.6
236,Faculty of Arts Social Sciences,Bachelor of Social Sciences,National University of Singapore,3200,2800,3100,76.8,3500,3210,3098,2013,88.1
237,NUS Business School,Bachelor of Business Administration,National University of Singapore,3000,2700,2868,81.7,3370,3062,2960,2013,88.7
238,NUS Business School,Bachelor of Business Administration (Hons),National University of Singapore,3200,2800,3050,90.3,3800,3512,3404,2013,94.6
239,NUS Business School,Bachelor of Business Administration (Accountancy),National University of Singapore,2700,2700,2700,88.9,3018,2922,2740,2013,93.3
240,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),National University of Singapore,2800,2700,2800,94.4,3200,3143,3065,2013,97.2
241,School of Computing,Bachelor of Computing (Communications and Media),National University of Singapore,3050,2825,3000,77.8,3425,3377,3350,2013,88.9
242,School of Computing,Bachelor of Computing (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2013,na
243,School of Computing,Bachelor of Computing (Computer Engineering),National University of Singapore,na,na,na,na,na,na,na,2013,na
244,School of Computing,Bachelor of Computing (Computer Science),National University of Singapore,3425,3000,3400,83.3,4000,3953,3933,2013,92.4
245,School of Computing,Bachelor of Computing (Electronic Commerce),National University of Singapore,3080,2800,3050,83.3,3553,3320,3277,2013,88.9
246,School of Computing,Bachelor of Computing (Information Systems),National University of Singapore,3005,3000,3000,83.9,3800,3322,3266,2013,89.2
247,Faculty of Dentistry,Bachelor of Dental Surgery,National University of Singapore,4000,4000,4000,100,4400,4106,4106,2013,100
248,School of Design  Environment,Bachelor of Arts (Architecture) ,National University of Singapore,na,na,na,na,na,na,na,2013,na
249,School of Design  Environment,Bachelor of Arts (Industrial Design),National University of Singapore,2650,2400,2650,53.6,3000,3023,3007,2013,82.1
250,School of Design  Environment,Bachelor of Science (Project and Facilities Management),National University of Singapore,3000,2800,2980,96.8,3200,3025,2961,2013,96.8
251,School of Design  Environment,Bachelor of Science (Real Estate),National University of Singapore,2900,2600,2800,89.2,3179,2988,2839,2013,89.2
252,Faculty of Engineering,Bachelor of Engineering (Bioengineering),National University of Singapore,3000,2720,3000,60,3250,3068,2823,2013,74
253,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),National University of Singapore,3175,3000,3000,90,3644,3359,3245,2013,93.2
254,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),National University of Singapore,3050,3000,3000,94.1,3300,3154,3140,2013,96.1
255,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),National University of Singapore,3200,3000,3200,85.6,3970,3653,3592,2013,88.9
256,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),National University of Singapore,3200,3000,3100,88,3600,3334,3286,2013,88.5
257,Faculty of Engineering,Bachelor of Engineering (Engineering Science),National University of Singapore,3000,2800,3000,75.9,3150,2960,2940,2013,86.2
258,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),National University of Singapore,3110,3000,3100,87.5,3500,3208,3153,2013,93.8
259,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),National University of Singapore,3200,3000,3200,92.4,3800,3397,3330,2013,93.9
260,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),National University of Singapore,3000,3000,3000,87.9,3260,3169,3036,2013,90.9
261,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),National University of Singapore,3225,3000,3000,87.2,3500,3319,3155,2013,89.1
262,Faculty of Law,Bachelor of Laws (LLB) (Hons),National University of Singapore,5000,4500,4800,98.2,5800,5099,4922,2013,98.8
263,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS),National University of Singapore,4500,4500,4500,100,5200,4741,4406,2013,100
264,YLL School of Medicine,Bachelor of Science (Nursing),National University of Singapore,2950,2700,2750,97.5,3050,2886,2687,2013,97.5
265,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),National University of Singapore,3025,3000,3000,100,3200,3042,2896,2013,100
266,Yong Siew Toh Conservatory of Music,Bachelor of Music,National University of Singapore,na,na,na,na,na,na,na,2013,na
267,Faculty of Science,Bachelor of Applied Science,National University of Singapore,na,na,na,na,na,na,na,2013,na
268,Faculty of Science,Bachelor of Applied Science (Hons),National University of Singapore,2900,2600,2750,97.3,3255,2925,2850,2013,97.3
269,Faculty of Science,Bachelor of Science (Hons),National University of Singapore,3100,2868,3000,74,3500,3217,3101,2013,83.6
270,Faculty of Science,Bachelor of Science (Computational Biology),National University of Singapore,na,na,na,na,na,na,na,2013,na
271,Faculty of Science,Bachelor of Science (Pharmacy) (Hons),National University of Singapore,3500,3350,3500,96.4,3750,3540,3473,2013,96.4
272,School of Accountancy (4year programme),Accountancy (4year programme),Singapore Management University,2825,2700,2800,93.2,3430,3342,3231,2013,94.2
273,School of Accountancy (4year programme),Accountancy (4year programme) Cum Laude and above,Singapore Management University,3000,2700,2900,95.2,3750,3634,3580,2013,95.2
274,School of Business (4year programme),Business Management (4year programme),Singapore Management University,3200,2800,3000,87.3,3750,3520,3344,2013,93.2
275,School of Business (4year programme),Business Management (4year programme) Cum Laude and above,Singapore Management University,3580,3000,3500,93.8,4100,3975,3825,2013,95.9
276,School of Economics (4year programme),Economics (4year programme),Singapore Management University,3339,3000,3200,88.6,3800,3513,3389,2013,90.6
277,School of Economics (4year programme),Economics (4year programme) Cum Laude and above,Singapore Management University,3600,3250,3500,94,4000,3820,3731,2013,94
